Date,Team_A,Team_B,Winner,Margin,Venue
06/10/2022,India,South Africa,South Africa,wonby9runs,BharatRatnaShriAtalBihariVajpayeeEkanaCricketStadium
09/10/2022,India,South Africa,India,wonby7wickets,JSCAInternationalStadiumComplex
11/10/2022,India,South Africa,India,wonby7wickets,ArunJaitleyStadium
17/11/2022,Australia,England,Australia,wonby6wickets,AdelaideOval
19/11/2022,Australia,England,Australia,wonby72runs,SydneyCricketGround
22/11/2022,Australia,England,Australia,wonby221runs,MelbourneCricketGround
25/11/2022,New Zealand,India,New Zealand,wonby7wickets,EdenPark
25/11/2022,SriLanka,Afghanistan,Afghanistan,wonby60runs,PallekeleInternationalCricketStadium
27/11/2022,New Zealand,India,Noresult,Noresult,SeddonPark
27/11/2022,SriLanka,Afghanistan,Noresult,Noresult,PallekeleInternationalCricketStadium
30/11/2022,New Zealand,India,Noresult,Noresult,HagleyOval
30/11/2022,SriLanka,Afghanistan,SriLanka,wonby4wickets,PallekeleInternationalCricketStadium
04/12/2022,Bangladesh,India,Bangladesh,wonby1wicket,ShereBanglaNationalStadium
07/12/2022,Bangladesh,India,Bangladesh,wonby5runs,ShereBanglaNationalStadium
10/12/2022,Bangladesh,India,India,wonby227runs,ZahurAhmedChowdhuryStadium
09/01/2023,Pakistan,New Zealand,Pakistan,wonby6wickets,NationalStadium(Karachi)
10/01/2023,India,SriLanka,India,wonby67runs,BarsaparaCricketStadium
11/01/2023,Pakistan,New Zealand,New Zealand,wonby79runs,NationalStadium(Karachi)
12/01/2023,India,SriLanka,India,wonby4wickets,EdenGardens
15/01/2023,India,SriLanka,India,wonby317runs,GreenfieldInternationalStadium
18/01/2023,India,New Zealand,India,wonby12runs,RajivGandhiInternationalStadium
21/01/2023,India,New Zealand,India,wonby8wickets,ShaheedVeerNarayanSingInternationalStadium
24/01/2023,India,New Zealand,India,wonby90runs,HolkarCricketStadium
27/01/2023,South Africa,England,South Africa,wonby27runs,MangaungOval
29/01/2023,South Africa,England,South Africa,wonby5wickets,MangaungOval
01/02/2023,South Africa,England,England,wonby59runs,DiamondOval
01/03/2023,Bangladesh,England,England,wonby3wickets,ShereBanglaNationalStadium
03/03/2023,Bangladesh,England,England,wonby132runs,ShereBanglaNationalStadium
06/03/2023,Bangladesh,England,Bangladesh,wonby50runs,ZahurAhmedChowdhuryStadium
16/03/2023,South Africa,WestIndies,Matchabandoned,Matchabandoned,BuffaloPark
17/03/2023,India,Australia,India,wonby5wickets,WankhedeStadium
18/03/2023,Bangladesh,Ireland,Bangladesh,wonby183runs,SylhetStadium
18/03/2023,South Africa,WestIndies,WestIndies,wonby48runs,BuffaloPark
19/03/2023,India,Australia,Australia,wonby10wickets,DrYSRajasekharaReddyCricketStadium
20/03/2023,Bangladesh,Ireland,Noresult,Noresult,SylhetStadium
21/03/2023,South Africa,WestIndies,South Africa,wonby4wickets,SenwesPark
21/03/2023,Zimbabwe,Netherlands,Netherlands,wonby3wickets,HarareSportsClub
22/03/2023,India,Australia,Australia,wonby21runs,MAChidambaramStadium
23/03/2023,Bangladesh,Ireland,Bangladesh,wonby10wickets,SylhetStadium
23/03/2023,Zimbabwe,Netherlands,Zimbabwe,wonby1run,HarareSportsClub
25/03/2023,New Zealand,SriLanka,New Zealand,wonby198runs,EdenPark
25/03/2023,Zimbabwe,Netherlands,Zimbabwe,wonby7wickets,HarareSportsClub
28/03/2023,New Zealand,SriLanka,Matchabandoned,Matchabandoned,HagleyOval
31/03/2023,South Africa,Netherlands,South Africa,wonby8wickets,WillowmoorePark
31/03/2023,New Zealand,SriLanka,New Zealand,wonby6wickets,SeddonPark
27/04/2023,Pakistan,New Zealand,Pakistan,wonby5wickets,RawalpindiCricketStadium
29/04/2023,Pakistan,New Zealand,Pakistan,wonby7wickets,RawalpindiCricketStadium
03/05/2023,Pakistan,New Zealand,Pakistan,wonby26runs,NationalStadium(Karachi)
05/05/2023,Pakistan,New Zealand,Pakistan,wonby102runs,NationalStadium(Karachi)
07/05/2023,Pakistan,New Zealand,New Zealand,wonby47runs,NationalStadium(Karachi)
09/05/2023,Ireland,Bangladesh,Noresult,Noresult,CountyGround(Chelmsford)
12/05/2023,Ireland,Bangladesh,Bangladesh,wonby3wickets,CountyGround(Chelmsford)
14/05/2023,Ireland,Bangladesh,Bangladesh,wonby5runs,CountyGround(Chelmsford)
02/06/2023,SriLanka,Afghanistan,Afghanistan,wonby6wickets,MahindaRajapakshaInternationalCricketStadium
04/06/2023,SriLanka,Afghanistan,SriLanka,wonby132runs,MahindaRajapakshaInternationalCricketStadium
07/06/2023,SriLanka,Afghanistan,SriLanka,wonby9wickets,MahindaRajapakshaInternationalCricketStadium
19/06/2023,SriLanka,UnitedArabEmirates,SriLanka,wonby175runs,QueensSportsClub
23/06/2023,Oman,SriLanka,SriLanka,wonby10wickets,QueensSportsClub
24/06/2023,Nepal,Netherlands,Netherlands,wonby7wickets,TakashingaSportsClub
25/06/2023,Ireland,SriLanka,SriLanka,wonby133runs,QueensSportsClub
27/06/2023,Scotland,SriLanka,SriLanka,wonby82runs,QueensSportsClub
30/06/2023,Netherlands,SriLanka,SriLanka,wonby21runs,QueensSportsClub
03/07/2023,Netherlands,Oman,Netherlands,wonby74runs,HarareSportsClub
05/07/2023,Bangladesh,Afghanistan,Afghanistan,wonby17runs,ZahurAhmedChowdhuryStadium
06/07/2023,Netherlands,Scotland,Netherlands,wonby4wickets,QueensSportsClub
07/07/2023,SriLanka,WestIndies,SriLanka,wonby8wickets,HarareSportsClub
08/07/2023,Bangladesh,Afghanistan,Afghanistan,wonby142runs,ZahurAhmedChowdhuryStadium
09/07/2023,Netherlands,SriLanka,SriLanka,wonby128runs,HarareSportsClub
11/07/2023,Bangladesh,Afghanistan,Bangladesh,wonby7wickets,ZahurAhmedChowdhuryStadium
27/07/2023,WestIndies,India,India,wonby5wickets,KensingtonOval
29/07/2023,WestIndies,India,WestIndies,wonby6wickets,KensingtonOval
01/08/2023,WestIndies,India,India,wonby200runs,BrianLaraStadium
22/08/2023,Afghanistan,Pakistan,Pakistan,wonby142runs,MahindaRajapakshaInternationalCricketStadium
24/08/2023,Afghanistan,Pakistan,Pakistan,wonby1wicket,MahindaRajapakshaInternationalCricketStadium
26/08/2023,Afghanistan,Pakistan,Pakistan,wonby59runs,RPremadasaStadium
30/08/2023,Pakistan,Nepal,Pakistan,wonby238runs,MultanCricketStadium
31/08/2023,SriLanka,Bangladesh,SriLanka,wonby5wickets,PallekeleInternationalCricketStadium
02/09/2023,India,Pakistan,Noresult,Noresult,PallekeleInternationalCricketStadium
03/09/2023,Afghanistan,Bangladesh,Bangladesh,wonby89runs,GaddafiStadium
04/09/2023,India,Nepal,India,wonby10wickets,PallekeleInternationalCricketStadium
05/09/2023,SriLanka,Afghanistan,SriLanka,wonby2runs,GaddafiStadium
06/09/2023,Pakistan,Bangladesh,Pakistan,wonby7wickets,GaddafiStadium
07/09/2023,South Africa,Australia,Australia, wonby3wickets,MangaungOval
08/09/2023,England,New Zealand,New Zealand,wonby8wickets,SophiaGardens
09/09/2023,South Africa,Australia,Australia, wonby123runs,MangaungOval
09/09/2023,SriLanka,Bangladesh,SriLanka,wonby21runs,RPremadasaStadium
10/09/2023,India,Pakistan,India,wonby228runs,RPremadasaStadium
10/09/2023,England,New Zealand,England,wonby79runs,TheRoseBowl
12/09/2023,South Africa,Australia,South Africa,wonby111runs,SenwesPark
12/09/2023,SriLanka,India,India,wonby41runs,RPremadasaStadium
13/09/2023,England,New Zealand,England,wonby181runs,KenningtonOval
14/09/2023,SriLanka,Pakistan,SriLanka,wonby2wickets,RPremadasaStadium
15/09/2023,Bangladesh,India,Bangladesh,wonby6runs,RPremadasaStadium
15/09/2023,South Africa,Australia,South Africa,wonby164runs,SuperSportPark
15/09/2023,England,New Zealand,England,wonby100runs,"Lord's	"
17/09/2023,South Africa,Australia,South Africa,wonby122runs,WanderersStadium
17/09/2023,SriLanka,India,India,wonby10wickets,RPremadasaStadium
20/09/2023,England,Ireland,Matchabandoned,Matchabandoned,Headingley
21/09/2023,Bangladesh,New Zealand,Noresult,Noresult,ShereBanglaNationalStadium
22/09/2023,India,Australia,India,wonby5wickets,PunjabCricketAssociationISBindraStadium
23/09/2023,Bangladesh,New Zealand,New Zealand,wonby86runs,ShereBanglaNationalStadium
23/09/2023,England,Ireland,England,wonby48runs,TrentBridge
24/09/2023,India,Australia,India,wonby99runs,HolkarCricketStadium
26/09/2023,Bangladesh,New Zealand,New Zealand,wonby7wickets,ShereBanglaNationalStadium
26/09/2023,England,Ireland,Noresult,Noresult,CountyGround(Bristol)
27/09/2023,India,Australia,Australia,wonby56runs,SaurashtraCricketAssociationStadium
05/10/2023,England,New Zealand,New Zealand,wonby9wickets,NarendraModiStadium
06/10/2023,Netherlands,Pakistan,Pakistan,wonby81runs,RajivGandhiInternationalStadium
07/10/2023,South Africa,SriLanka,South Africa,wonby102runs,ArunJaitleyStadium
07/10/2023,Afghanistan,Bangladesh,Bangladesh,wonby6wickets,HimachalPradeshCricketAssociationStadium
08/10/2023,India,Australia,India,wonby6wickets,MAChidambaramStadium
09/10/2023,Netherlands,New Zealand,New Zealand,New Zealand,RajivGandhiInternationalStadium
10/10/2023,Bangladesh,England,England,wonby137runs,HimachalPradeshCricketAssociationStadium
10/10/2023,Pakistan,SriLanka,Pakistan,wonby6wickets,RajivGandhiInternationalStadium
11/10/2023,India,Afghanistan,India,wonby8wickets,ArunJaitleyStadium
12/10/2023,Australia,South Africa,South Africa,wonby134runs,BharatRatnaShriAtalBihariVajpayeeEkanaCricketStadium
13/10/2023,Bangladesh,New Zealand,New Zealand,wonby8wickets,MAChidambaramStadium
14/10/2023,India,Pakistan,India,wonby7wickets,NarendraModiStadium
15/10/2023,Afghanistan,England,Afghanistan,wonby69runs,ArunJaitleyStadium
16/10/2023,Australia,SriLanka,Australia,wonby5wickets,BharatRatnaShriAtalBihariVajpayeeEkanaCricketStadium
17/10/2023,Netherlands,South Africa,Netherlands,wonby38runs,HimachalPradeshCricketAssociationStadium
18/10/2023,Afghanistan,New Zealand,New Zealand,wonby149runs,MAChidambaramStadium
19/10/2023,India,Bangladesh,India,wonby7wickets,MaharashtraCricketAssociationStadium
20/10/2023,Australia,Pakistan,Australia, wonby62runs,MChinnaswamyStadium
21/10/2023,England,South Africa,South Africa,wonby229runs,WankhedeStadium
21/10/2023,Netherlands,SriLanka,SriLanka,wonby5wickets,BharatRatnaShriAtalBihariVajpayeeEkanaCricketStadium
22/10/2023,India,New Zealand,India,wonby4wickets,HimachalPradeshCricketAssociationStadium
23/10/2023,Afghanistan,Pakistan,Afghanistan, wonby8wickets,MAChidambaramStadium
24/10/2023,Bangladesh,South Africa,South Africa,wonby149runs,WankhedeStadium
25/10/2023,Australia,Netherlands,Australia,wonby309runs,ArunJaitleyStadium
26/10/2023,England,SriLanka,SriLanka,wonby8wickets,MChinnaswamyStadium
27/10/2023,Pakistan,South Africa,South Africa,wonby1wicket,MAChidambaramStadium
28/10/2023,Bangladesh,Netherlands,Netherlands,wonby87runs,"EdenGardens	"
28/10/2023,Australia,New Zealand,Australia,wonby5runs,HimachalPradeshCricketAssociationStadium
29/10/2023,India,England,India,wonby100runs,BharatRatnaShriAtalBihariVajpayeeEkanaCricketStadium
30/10/2023,Afghanistan,SriLanka,Afghanistan,wonby7wickets,MaharashtraCricketAssociationStadium
31/10/2023,Bangladesh,Pakistan,Pakistan,wonby7wickets,EdenGardens
01/11/2023,New Zealand,South Africa,South Africa,wonby190runs,MaharashtraCricketAssociationStadium
02/11/2023,India,SriLanka,India,wonby302runs,WankhedeStadium
03/11/2023,Afghanistan,Netherlands,Afghanistan,wonby7wickets,BharatRatnaShriAtalBihariVajpayeeEkanaCricketStadium
04/11/2023,Australia,England,Australia,wonby33runs,NarendraModiStadium
04/11/2023,New Zealand,Pakistan,Pakistan,wonby21runs,MChinnaswamyStadium
05/11/2023,India,South Africa,India,wonby243runs,EdenGardens
06/11/2023,Bangladesh,SriLanka,Bangladesh,wonby3wickets,ArunJaitleyStadium
07/11/2023,Afghanistan,Australia,Australia,wonby3wickets,WankhedeStadium
08/11/2023,England,Netherlands,England,wonby160runs,MaharashtraCricketAssociationStadium
09/11/2023,New Zealand,SriLanka,New Zealand,wonby5wickets,MChinnaswamyStadium
10/11/2023,Afghanistan,South Africa,South Africa,wonby5wickets,NarendraModiStadium
11/11/2023,Australia,Bangladesh,Australia,wonby8wickets,MaharashtraCricketAssociationStadium
11/11/2023,England,Pakistan,England,wonby93runs,"EdenGardens	"
12/11/2023,India,Netherlands,India,wonby160runs,"MChinnaswamyStadium	"
15/11/2023,India,New Zealand,India,wonby70runs,WankhedeStadium
16/11/2023,Australia,South Africa,Australia,wonby3wickets,"EdenGardens	"
19/11/2023,India,Australia,Australia,wonby6wickets,NarendraModiStadium
03/12/2023,WestIndies,England,WestIndies,wonby4wickets,SirVivianRichardsStadium
06/12/2023,WestIndies,England,England,wonby6wickets,SirVivianRichardsStadium
09/12/2023,WestIndies,England,WestIndies,wonby4wickets,KensingtonOval
17/12/2023,South Africa,India,India,wonby8wickets,"WanderersStadium	"
17/12/2023,New Zealand,Bangladesh,New Zealand,wonby44runs,UniversityOval
19/12/2023,South Africa,India,South Africa,wonby8wickets,"StGeorge'sPark	"
20/12/2023,New Zealand,Bangladesh,New Zealand,wonby7wickets,SaxtonOval
21/12/2023,South Africa,India,India,wonby78runs,BolandPark
23/12/2023,New Zealand,Bangladesh,Bangladesh,wonby9wickets,McLeanPark
02/02/2024,Australia,WestIndies,Australia,wonby8wickets,MelbourneCricketGround
04/02/2024,Australia,WestIndies,Australia,wonby83runs,SydneyCricketGround
06/02/2024,Australia,WestIndies,Australia,wonby8wickets,ManukaOval
11/02/2024,SriLanka,Afghanistan,SriLanka,wonby155runs,PallekeleInternationalCricketStadium
14/02/2024,SriLanka,Afghanistan,SriLanka,wonby7wickets,PallekeleInternationalCricketStadium
07/03/2024,Afghanistan,Ireland,Afghanistan,wonby35runs,SharjahCricketStadium
09/03/2024,Afghanistan,Ireland,Matchabandoned,Matchabandoned,SharjahCricketStadium
12/03/2024,Afghanistan,Ireland,Afghanistan,wonby117runs,SharjahCricketStadium
13/03/2024,Bangladesh,SriLanka,Bangladesh,wonby6wickets,ZahurAhmedChowdhuryStadium
15/03/2024,Bangladesh,SriLanka,SriLanka,wonby6wickets,ZahurAhmedChowdhuryStadium
18/03/2024,Bangladesh,SriLanka,Bangladesh,wonby6wickets,ZahurAhmedChowdhuryStadium
02/08/2024,SriLanka,India,Tied,Tied,RPremadasaStadium
04/08/2024,SriLanka,India,SriLanka,wonby32runs,RPremadasaStadium
07/08/2024,SriLanka,India,SriLanka,wonby110runs,RPremadasaStadium
18/09/2024,Afghanistan,South Africa,Afghanistan,wonby6wickets,SharjahCricketStadium
19/09/2024,England,Australia,Australia,wonby7wickets,TrentBridge
20/09/2024,Afghanistan,South Africa,Afghanistan,wonby177runs,SharjahCricketStadium
21/09/2024,England,Australia,Australia,wonby68runs,Headingley
22/09/2024,Afghanistan,South Africa,South Africa,wonby7wickets,SharjahCricketStadium
24/09/2024,England,Australia,England,wonby46runs,RiversideGround
27/09/2024,England,Australia,England,wonby186runs,Lord's
29/09/2024,England,Australia,Australia,wonby49runs,"CountyGround(Bristol)	"
02/10/2024,Ireland,South Africa,South Africa,wonby139runs,SheikhZayedStadium
04/10/2024,Ireland,South Africa,South Africa,wonby174runs,SheikhZayedStadium
07/10/2024,Ireland,South Africa,Ireland,wonby69runs,SheikhZayedStadium
31/10/2024,WestIndies,England,WestIndies,wonby8wickets,SirVivianRichardsStadium
02/11/2024,WestIndies,England,England,wonby5wickets,SirVivianRichardsStadium
04/11/2024,Australia,Pakistan,Australia,wonby2wickets,MelbourneCricketGround
06/11/2024,Afghanistan,Bangladesh,Afghanistan,wonby92runs,SharjahCricketStadium
06/11/2024,WestIndies,England,WestIndies,wonby8wickets,KensingtonOval
08/11/2024,Australia,Pakistan,Pakistan,wonby9wickets,AdelaideOval
09/11/2024,Afghanistan,Bangladesh,Bangladesh,wonby68runs,SharjahCricketStadium
10/11/2024,Australia,Pakistan,Pakistan,wonby8wickets,PerthStadium
11/11/2024,Afghanistan,Bangladesh,Afghanistan,wonby5wickets,SharjahCricketStadium
17/11/2024,SriLanka,New Zealand,SriLanka,wonby3wickets,PallekeleInternationalCricketStadium
19/11/2024,SriLanka,New Zealand,Noresult,Noresult,PallekeleInternationalCricketStadium
24/11/2024,Zimbabwe,Pakistan,Zimbabwe,wonby80runs,QueensSportsClub
26/11/2024,Zimbabwe,Pakistan,Pakistan,wonby10wickets,QueensSportsClub
28/11/2024,Zimbabwe,Pakistan,Pakistan,wonby99runs,QueensSportsClub
08/12/2024,WestIndies,Bangladesh,WestIndies,wonby5wickets,WarnerPark
10/12/2024,WestIndies,Bangladesh,WestIndies,wonby7wickets,WarnerPark
12/12/2024,WestIndies,Bangladesh,WestIndies,wonby4wickets,WarnerPark
17/12/2024,South Africa,Pakistan,Pakistan,wonby3wickets,BolandPark
17/12/2024,Zimbabwe,Afghanistan,Noresult,Noresult,HarareSportsClub
19/12/2024,South Africa,Pakistan,Pakistan,wonby81runs,Newlands
19/12/2024,Zimbabwe,Afghanistan,Afghanistan,wonby232runs,HarareSportsClub
21/12/2024,Zimbabwe,Afghanistan,Afghanistan,wonby8wickets,HarareSportsClub
22/12/2024,South Africa,Pakistan,Pakistan,wonby36runs,WanderersStadium
"09/02/2024	",SriLanka,Afghanistan,SriLanka,wonby42runs,PallekeleInternationalCricketStadium
"13/11/2024	",SriLanka,New Zealand,SriLanka,wonby45runs,RangiriDambullaInternationalStadium
